Fisier,Caracteristica,Cod,Axa,NOMINAL,+TOL,-TOL,MEAS,DEV,OUTTOL
SER_235338AAA595658.PDF,PAGINA 1,LOC43,R,3.000,0.300,0.300,3.003,0.003,0.000
SER_235338AAA595658.PDF,PAGINA 1,LOC44,R,3.000,0.300,0.300,3.001,0.001,0.000
SER_235338AAA595658.PDF,PAGINA 1,LOC16,R,2.000,0.300,0.300,1.932,-0.068,0.000
SER_235338AAA595658.PDF,PAGINA 1,LOC17,R,2.000,0.300,0.300,1.913,-0.087,0.000
SER_235338AAA595658.PDF,PAGINA 1,DIST6,M,17.000,0.001,0.001,17.000,0.000,0.000
SER_235338AAA595658.PDF,PAGINA 2,LOC4Z,R,91.500,0.300,0.300,91.471,-0.029,0.000
SER_235338AAA595658.PDF,PAGINA 2,LOC25,R,5.000,0.100,0.100,5.004,0.004,0.000
SER_235338AAA595658.PDF,PAGINA 2,LOC26,R,5.000,0.100,0.100,5.015,0.015,0.000
SER_235338AAA595658.PDF,PAGINA 2,DIST8,M,6.720,0.100,0.100,6.767,0.047,0.000
SER_235338AAA595658.PDF,PAGINA 2,DIST1O,M,6.720,0.100,0.100,6.763,0.043,0.000
SER_235338AAA595658.PDF,PAGINA 2,nimic,M,0.000,0.050,0.000,0.001,0.001,0.000
SER_235338AAA595658.PDF,POSITION MM,FCFLOC2,A,0.000,0.050,0.017,0.017,90.000,0
SER_235338AAA595658.PDF,PAGINA 3,DISTS,M,9.050,0.050,0.050,9.046,-0.004,0.000
SER_235338AAA595658.PDF,PAGINA 3,DIST7,M,9.050,0.050,0.050,9.061,0.011,0.000
SER_235338AAA595658.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.027,0.027,0.000
SER_235338AAA595658.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.020,0.020,0.000
SER_235338AAA595658.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.033,0.033,0.000
SER_235338AAA595658.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.200,0.200,0.024,0.024,0.000
SER_235338AAA595658.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.038,0.038,0.000
SER_235338AAA595658.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.035,0.035,0.000
SER_235338AAA595658.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.040,0.040,0.000
SER_235338AAA595658.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.042,0.042,0.000
SER_235338AAA595658.PDF,PAGINA 5,LOC28,Z,-9.050,0.050,0.050,-9.027,0.023,0.000
SER_235338AAA595658.PDF,PAGINA 5,LOC22,R,0.500,0.100,0.100,0.512,0.012,0.000
SER_235338AAA595658.PDF,PAGINA 5,DIST11,M,81.400,0.050,0.050,81.439,0.039,0.000
SER_235338AAA595658.PDF,PAGINA 6,DIST12,M,115.550,0.300,0.300,115.619,0.069,0.000
SER_235338AAA595658.PDF,PAGINA 6,LOC23,R,0.500,0.100,0.100,0.522,0.022,0.000
SER_235338AAA595658.PDF,PAGINA 6,DIST9,M,4.800,0.300,0.300,4.884,0.084,0.000
SER_235338AAA595658.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.026,0.026,0.000
SER_235338AAA595658.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.014,0.014,0.000
SER_235338AAA595658.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.058,0.058,0.000
SER_235338AAA595658.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.051,0.051,0.000
